generated_scenario;speed (km/s);composition;distance (km);weight (g);angle (degrees)
1;10;ICE;20;1;1
2;10;ICE;20;1;15
3;10;ICE;20;1;30
4;10;ICE;20;10000;1
5;10;ICE;20;10000;15
6;10;ICE;20;10000;30
7;10;ICE;20;20000;1
8;10;ICE;20;20000;15
9;10;ICE;20;20000;30
10;10;ICE;510;1;1
11;10;ICE;510;1;15
12;10;ICE;510;1;30
13;10;ICE;510;10000;1
14;10;ICE;510;10000;15
15;10;ICE;510;10000;30
16;10;ICE;510;20000;1
17;10;ICE;510;20000;15
18;10;ICE;510;20000;30
19;10;ICE;1000;1;1
20;10;ICE;1000;1;15
21;10;ICE;1000;1;30
22;10;ICE;1000;10000;1
23;10;ICE;1000;10000;15
24;10;ICE;1000;10000;30
25;10;ICE;1000;20000;1
26;10;ICE;1000;20000;15
27;10;ICE;1000;20000;30
28;10;ICE;20;1;31
29;10;ICE;20;1;45
30;10;ICE;20;1;60
31;10;ICE;20;10000;31
32;10;ICE;20;10000;45
33;10;ICE;20;10000;60
34;10;ICE;20;20000;31
35;10;ICE;20;20000;45
36;10;ICE;20;20000;60
37;10;ICE;510;1;31
38;10;ICE;510;1;45
39;10;ICE;510;1;60
40;10;ICE;510;10000;31
41;10;ICE;510;10000;45
42;10;ICE;510;10000;60
43;10;ICE;510;20000;31
44;10;ICE;510;20000;45
45;10;ICE;510;20000;60
46;10;ICE;1000;1;31
47;10;ICE;1000;1;45
48;10;ICE;1000;1;60
49;10;ICE;1000;10000;31
50;10;ICE;1000;10000;45
51;10;ICE;1000;10000;60
52;10;ICE;1000;20000;31
53;10;ICE;1000;20000;45
54;10;ICE;1000;20000;60
55;10;ICE;20;1;61
56;10;ICE;20;1;75
57;10;ICE;20;1;90
58;10;ICE;20;10000;61
59;10;ICE;20;10000;75
60;10;ICE;20;10000;90
61;10;ICE;20;20000;61
62;10;ICE;20;20000;75
63;10;ICE;20;20000;90
64;10;ICE;510;1;61
65;10;ICE;510;1;75
66;10;ICE;510;1;90
67;10;ICE;510;10000;61
68;10;ICE;510;10000;75
69;10;ICE;510;10000;90
70;10;ICE;510;20000;61
71;10;ICE;510;20000;75
72;10;ICE;510;20000;90
73;10;ICE;1000;1;61
74;10;ICE;1000;1;75
75;10;ICE;1000;1;90
76;10;ICE;1000;10000;61
77;10;ICE;1000;10000;75
78;10;ICE;1000;10000;90
79;10;ICE;1000;20000;61
80;10;ICE;1000;20000;75
81;10;ICE;1000;20000;90
82;10;ICE;20;20001;1
83;10;ICE;20;20001;15
84;10;ICE;20;20001;30
85;10;ICE;20;30000;1
86;10;ICE;20;30000;15
87;10;ICE;20;30000;30
88;10;ICE;20;40000;1
89;10;ICE;20;40000;15
90;10;ICE;20;40000;30
91;10;ICE;510;20001;1
92;10;ICE;510;20001;15
93;10;ICE;510;20001;30
94;10;ICE;510;30000;1
95;10;ICE;510;30000;15
96;10;ICE;510;30000;30
97;10;ICE;510;40000;1
98;10;ICE;510;40000;15
99;10;ICE;510;40000;30
100;10;ICE;1000;20001;1
101;10;ICE;1000;20001;15
102;10;ICE;1000;20001;30
103;10;ICE;1000;30000;1
104;10;ICE;1000;30000;15
105;10;ICE;1000;30000;30
106;10;ICE;1000;40000;1
107;10;ICE;1000;40000;15
108;10;ICE;1000;40000;30
109;10;ICE;20;20001;31
110;10;ICE;20;20001;45
111;10;ICE;20;20001;60
112;10;ICE;20;30000;31
113;10;ICE;20;30000;45
114;10;ICE;20;30000;60
115;10;ICE;20;40000;31
116;10;ICE;20;40000;45
117;10;ICE;20;40000;60
118;10;ICE;510;20001;31
119;10;ICE;510;20001;45
120;10;ICE;510;20001;60
121;10;ICE;510;30000;31
122;10;ICE;510;30000;45
123;10;ICE;510;30000;60
124;10;ICE;510;40000;31
125;10;ICE;510;40000;45
126;10;ICE;510;40000;60
127;10;ICE;1000;20001;31
128;10;ICE;1000;20001;45
129;10;ICE;1000;20001;60
130;10;ICE;1000;30000;31
131;10;ICE;1000;30000;45
132;10;ICE;1000;30000;60
133;10;ICE;1000;40000;31
134;10;ICE;1000;40000;45
135;10;ICE;1000;40000;60
136;10;ICE;20;20001;61
137;10;ICE;20;20001;75
138;10;ICE;20;20001;90
139;10;ICE;20;30000;61
140;10;ICE;20;30000;75
141;10;ICE;20;30000;90
142;10;ICE;20;40000;61
143;10;ICE;20;40000;75
144;10;ICE;20;40000;90
145;10;ICE;510;20001;61
146;10;ICE;510;20001;75
147;10;ICE;510;20001;90
148;10;ICE;510;30000;61
149;10;ICE;510;30000;75
150;10;ICE;510;30000;90
151;10;ICE;510;40000;61
152;10;ICE;510;40000;75
153;10;ICE;510;40000;90
154;10;ICE;1000;20001;61
155;10;ICE;1000;20001;75
156;10;ICE;1000;20001;90
157;10;ICE;1000;30000;61
158;10;ICE;1000;30000;75
159;10;ICE;1000;30000;90
160;10;ICE;1000;40000;61
161;10;ICE;1000;40000;75
162;10;ICE;1000;40000;90
163;10;ICE;20;40001;1
164;10;ICE;20;40001;15
165;10;ICE;20;40001;30
166;10;ICE;20;50000;1
167;10;ICE;20;50000;15
168;10;ICE;20;50000;30
169;10;ICE;20;60000;1
170;10;ICE;20;60000;15
171;10;ICE;20;60000;30
172;10;ICE;510;40001;1
173;10;ICE;510;40001;15
174;10;ICE;510;40001;30
175;10;ICE;510;50000;1
176;10;ICE;510;50000;15
177;10;ICE;510;50000;30
178;10;ICE;510;60000;1
179;10;ICE;510;60000;15
180;10;ICE;510;60000;30
181;10;ICE;1000;40001;1
182;10;ICE;1000;40001;15
183;10;ICE;1000;40001;30
184;10;ICE;1000;50000;1
185;10;ICE;1000;50000;15
186;10;ICE;1000;50000;30
187;10;ICE;1000;60000;1
188;10;ICE;1000;60000;15
189;10;ICE;1000;60000;30
190;10;ICE;20;40001;31
191;10;ICE;20;40001;45
192;10;ICE;20;40001;60
193;10;ICE;20;50000;31
194;10;ICE;20;50000;45
195;10;ICE;20;50000;60
196;10;ICE;20;60000;31
197;10;ICE;20;60000;45
198;10;ICE;20;60000;60
199;10;ICE;510;40001;31
200;10;ICE;510;40001;45
201;10;ICE;510;40001;60
202;10;ICE;510;50000;31
203;10;ICE;510;50000;45
204;10;ICE;510;50000;60
205;10;ICE;510;60000;31
206;10;ICE;510;60000;45
207;10;ICE;510;60000;60
208;10;ICE;1000;40001;31
209;10;ICE;1000;40001;45
210;10;ICE;1000;40001;60
211;10;ICE;1000;50000;31
212;10;ICE;1000;50000;45
213;10;ICE;1000;50000;60
214;10;ICE;1000;60000;31
215;10;ICE;1000;60000;45
216;10;ICE;1000;60000;60
217;10;ICE;20;40001;61
218;10;ICE;20;40001;75
219;10;ICE;20;40001;90
220;10;ICE;20;50000;61
221;10;ICE;20;50000;75
222;10;ICE;20;50000;90
223;10;ICE;20;60000;61
224;10;ICE;20;60000;75
225;10;ICE;20;60000;90
226;10;ICE;510;40001;61
227;10;ICE;510;40001;75
228;10;ICE;510;40001;90
229;10;ICE;510;50000;61
230;10;ICE;510;50000;75
231;10;ICE;510;50000;90
232;10;ICE;510;60000;61
233;10;ICE;510;60000;75
234;10;ICE;510;60000;90
235;10;ICE;1000;40001;61
236;10;ICE;1000;40001;75
237;10;ICE;1000;40001;90
238;10;ICE;1000;50000;61
239;10;ICE;1000;50000;75
240;10;ICE;1000;50000;90
241;10;ICE;1000;60000;61
242;10;ICE;1000;60000;75
243;10;ICE;1000;60000;90
244;10;ICE;1001;1;1
245;10;ICE;1001;1;15
246;10;ICE;1001;1;30
247;10;ICE;1001;10000;1
248;10;ICE;1001;10000;15
249;10;ICE;1001;10000;30
250;10;ICE;1001;20000;1
251;10;ICE;1001;20000;15
252;10;ICE;1001;20000;30
253;10;ICE;2500;1;1
254;10;ICE;2500;1;15
255;10;ICE;2500;1;30
256;10;ICE;2500;10000;1
257;10;ICE;2500;10000;15
258;10;ICE;2500;10000;30
259;10;ICE;2500;20000;1
260;10;ICE;2500;20000;15
261;10;ICE;2500;20000;30
